TOA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,signal_Min(1),signal_Min(2),signal_Min(3),signal_Min(4),signal_Min(5),signal_Min(6),signal_Min(7),signal_Min(8),signal_Min(9),signal_Min(10),signal_Min(11),signal_Min(12),signal_Min(13),signal_Min(14),signal_Min(15),signal_Min(16),signal_Max(1),signal_Max(2),signal_Max(3),signal_Max(4),signal_Max(5),signal_Max(6),signal_Max(7),signal_Max(8),signal_Max(9),signal_Max(10),signal_Max(11),signal_Max(12),signal_Max(13),signal_Max(14),signal_Max(15),signal_Max(16),signal_Avg(1),signal_Avg(2),signal_Avg(3),signal_Avg(4),signal_Avg(5),signal_Avg(6),signal_Avg(7),signal_Avg(8),signal_Avg(9),signal_Avg(10),signal_Avg(11),signal_Avg(12),signal_Avg(13),signal_Avg(14),signal_Avg(15),signal_Avg(16),signal(1),signal(2),signal(3),signal(4),signal(5),signal(6),signal(7),signal(8),signal(9),signal(10),signal(11),signal(12),signal(13),signal(14),signal(15),signal(16),temp_Min(1),temp_Min(2),temp_Min(3),temp_Min(4),temp_Min(5),temp_Min(6),temp_Min(7),temp_Min(8),temp_Min(9),temp_Min(10),temp_Min(11),temp_Min(12),temp_Min(13),temp_Min(14),temp_Min(15),temp_Min(16),temp_Max(1),temp_Max(2),temp_Max(3),temp_Max(4),temp_Max(5),temp_Max(6),temp_Max(7),temp_Max(8),temp_Max(9),temp_Max(10),temp_Max(11),temp_Max(12),temp_Max(13),temp_Max(14),temp_Max(15),temp_Max(16),temp_Avg(1),temp_Avg(2),temp_Avg(3),temp_Avg(4),temp_Avg(5),temp_Avg(6),temp_Avg(7),temp_Avg(8),temp_Avg(9),temp_Avg(10),temp_Avg(11),temp_Avg(12),temp_Avg(13),temp_Avg(14),temp_Avg(15),temp_Avg(16),temp(1),temp(2),temp(3),temp(4),temp(5),temp(6),temp(7),temp(8),temp(9),temp(10),temp(11),temp(12),temp(13),temp(14),temp(15),temp(16),signal_2_Min(1),signal_2_Min(2),signal_2_Min(3),signal_2_Min(4),signal_2_Min(5),signal_2_Min(6),signal_2_Min(7),signal_2_Min(8),signal_2_Min(9),signal_2_Min(10),signal_2_Min(11),signal_2_Min(12),signal_2_Min(13),signal_2_Min(14),signal_2_Min(15),signal_2_Min(16),signal_2_Max(1),signal_2_Max(2),signal_2_Max(3),signal_2_Max(4),signal_2_Max(5),signal_2_Max(6),signal_2_Max(7),signal_2_Max(8),signal_2_Max(9),signal_2_Max(10),signal_2_Max(11),signal_2_Max(12),signal_2_Max(13),signal_2_Max(14),signal_2_Max(15),signal_2_Max(16),signal_2_Avg(1),signal_2_Avg(2),signal_2_Avg(3),signal_2_Avg(4),signal_2_Avg(5),signal_2_Avg(6),signal_2_Avg(7),signal_2_Avg(8),signal_2_Avg(9),signal_2_Avg(10),signal_2_Avg(11),signal_2_Avg(12),signal_2_Avg(13),signal_2_Avg(14),signal_2_Avg(15),signal_2_Avg(16),signal_2(1),signal_2(2),signal_2(3),signal_2(4),signal_2(5),signal_2(6),signal_2(7),signal_2(8),signal_2(9),signal_2(10),signal_2(11),signal_2(12),signal_2(13),signal_2(14),signal_2(15),signal_2(16),temp_2_Min(1),temp_2_Min(2),temp_2_Min(3),temp_2_Min(4),temp_2_Min(5),temp_2_Min(6),temp_2_Min(7),temp_2_Min(8),temp_2_Min(9),temp_2_Min(10),temp_2_Min(11),temp_2_Min(12),temp_2_Min(13),temp_2_Min(14),temp_2_Min(15),temp_2_Min(16),temp_2_Max(1),temp_2_Max(2),temp_2_Max(3),temp_2_Max(4),temp_2_Max(5),temp_2_Max(6),temp_2_Max(7),temp_2_Max(8),temp_2_Max(9),temp_2_Max(10),temp_2_Max(11),temp_2_Max(12),temp_2_Max(13),temp_2_Max(14),temp_2_Max(15),temp_2_Max(16),temp_2_Avg(1),temp_2_Avg(2),temp_2_Avg(3),temp_2_Avg(4),temp_2_Avg(5),temp_2_Avg(6),temp_2_Avg(7),temp_2_Avg(8),temp_2_Avg(9),temp_2_Avg(10),temp_2_Avg(11),temp_2_Avg(12),temp_2_Avg(13),temp_2_Avg(14),temp_2_Avg(15),temp_2_Avg(16),temp_2(1),temp_2(2),temp_2(3),temp_2(4),temp_2(5),temp_2(6),temp_2(7),temp_2(8),temp_2(9),temp_2(10),temp_2(11),temp_2(12),temp_2(13),temp_2(14),temp_2(15),temp_2(16),signal_3_Min(1),signal_3_Min(2),signal_3_Min(3),signal_3_Max(1),signal_3_Max(2),signal_3_Max(3),signal_3_Avg(1),signal_3_Avg(2),signal_3_Avg(3),signal_3(1),signal_3(2),signal_3(3),temp_3_Min(1),temp_3_Min(2),temp_3_Min(3),temp_3_Max(1),temp_3_Max(2),temp_3_Max(3),temp_3_Avg(1),temp_3_Avg(2),temp_3_Avg(3),temp_3(1),temp_3(2),temp_3(3)
TS,RN,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C
,,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Min,Min,Min,Max,Max,Max,Avg,Avg,Avg,Smp,Smp,Smp,Min,Min,Min,Max,Max,Max,Avg,Avg,Avg,Smp,Smp,Smp
7/7/15 12:00,0,47.61,47.81,47.14,46.87,44.86,42.71,23.19,43.32,48.01,50.9,41.91,50.83,45.6,48.35,44.59,49.56,47.81,47.95,47.14,47.01,45.06,42.71,23.19,43.38,48.01,50.9,41.91,50.93,45.63,48.35,44.79,49.56,47.7,47.88,47.14,46.92,44.97,42.71,23.19,43.34,48.01,50.9,41.91,50.89,45.61,48.35,44.66,49.56,47.81,47.95,47.14,46.87,44.86,42.71,23.19,43.32,48.01,50.9,41.91,50.93,45.6,48.35,44.79,49.56,24.99,25.02,25.17,24.63,24.24,24.15,24.03,24.34,24.1,24.33,24.64,24.13,24.45,23.95,24.48,24.14,25.04,25.06,25.22,24.69,24.29,24.2,24.07,24.38,24.15,24.38,24.69,24.16,24.49,23.99,24.53,24.17,25.02,25.04,25.2,24.66,24.27,24.18,24.05,24.36,24.12,24.36,24.67,24.15,24.47,23.97,24.51,24.16,25.04,25.06,25.22,24.69,24.29,24.2,24.07,24.38,24.15,24.38,24.69,24.16,24.49,23.99,24.53,24.17,43.55,45.13,49.76,48.08,0.336,4.765,47.28,50.9,44.12,43.18,43.72,42.31,51.17,47.44,47.54,46.34,43.59,45.2,49.83,48.15,0.336,4.899,47.34,50.93,44.19,43.18,43.72,42.31,51.17,47.51,47.58,46.54,43.57,45.15,49.8,48.12,0.336,4.832,47.32,50.91,44.17,43.18,43.72,42.31,51.17,47.49,47.57,46.43,43.59,45.2,49.76,48.08,0.336,4.899,47.28,50.9,44.12,43.18,43.72,42.31,51.17,47.44,47.54,46.34,24.45,24.2,24.18,24.26,23.83,24.51,24.2,24.33,24.31,24.32,24.11,23.77,24.41,24.24,24.06,24.36,24.5,24.21,24.21,24.32,23.84,24.6,24.24,24.38,24.36,24.35,24.15,23.8,24.48,24.27,24.09,24.39,24.48,24.21,24.2,24.29,23.84,24.56,24.22,24.35,24.33,24.33,24.13,23.79,24.45,24.26,24.07,24.38,24.5,24.21,24.21,24.32,23.84,24.6,24.24,24.38,24.36,24.35,24.15,23.8,24.48,24.27,24.09,24.39,45.2,48.89,40.73,45.26,48.92,40.73,45.24,48.9,40.73,45.2,48.89,40.73,24.52,24.48,24.87,24.57,24.54,24.9,24.55,24.51,24.89,24.57,24.54,24.9
7/7/15 13:00,1,47.81,47.94,47,47,44.85,42.67,23.11,43.31,48.01,50.89,41.9,50.83,45.59,48.34,44.58,49.55,47.91,48.07,47.14,47.07,44.99,42.77,23.18,43.32,48.01,50.96,41.91,51.23,45.6,48.35,44.72,49.56,47.86,48,47.09,47.02,44.89,42.72,23.13,43.31,48.01,50.91,41.9,51.02,45.59,48.34,44.64,49.55,47.81,48.01,47.07,47,44.99,42.67,23.11,43.31,48.01,50.89,41.9,51.09,45.59,48.34,44.58,49.55,25.05,25.07,25.25,24.71,24.32,24.2,24.09,24.4,24.15,24.4,24.69,24.18,24.5,24,24.55,24.19,25.1,25.13,25.36,24.84,24.36,24.25,24.13,24.45,24.23,24.47,24.74,24.22,24.54,24.08,24.6,24.26,25.08,25.1,25.3,24.78,24.33,24.22,24.11,24.43,24.19,24.43,24.72,24.2,24.52,24.04,24.57,24.22,25.1,25.13,25.36,24.84,24.36,24.25,24.13,24.45,24.23,24.47,24.74,24.22,24.54,24.08,24.6,24.26,43.51,45.12,49.75,48.01,0.335,4.697,47.27,50.89,44.12,43.18,43.71,42.24,51.16,47.4,47.54,46.06,43.58,45.13,49.76,48.07,0.369,4.831,47.3,50.9,44.25,43.38,43.78,42.31,51.23,47.47,47.57,46.34,43.52,45.12,49.75,48.02,0.341,4.781,47.28,50.89,44.14,43.29,43.73,42.29,51.19,47.44,47.56,46.18,43.51,45.12,49.75,48.07,0.335,4.697,47.27,50.89,44.25,43.31,43.78,42.3,51.16,47.47,47.57,46.2,24.51,24.23,24.23,24.33,23.86,24.63,24.26,24.39,24.37,24.37,24.17,23.81,24.51,24.3,24.09,24.41,24.59,24.25,24.28,24.41,23.91,24.74,24.32,24.44,24.44,24.45,24.25,23.85,24.6,24.36,24.14,24.47,24.55,24.24,24.25,24.37,23.88,24.68,24.29,24.41,24.41,24.41,24.21,23.83,24.55,24.33,24.12,24.44,24.59,24.25,24.28,24.41,23.91,24.74,24.32,24.44,24.44,24.45,24.25,23.85,24.6,24.36,24.14,24.47,45.19,48.81,40.63,45.26,48.89,40.73,45.2,48.84,40.67,45.26,48.81,40.63,24.6,24.57,24.93,24.69,24.67,24.97,24.65,24.62,24.95,24.69,24.67,24.97
7/7/15 14:00,2,47.81,48.01,47.07,46.83,44.85,42.71,23.05,43.24,47.94,50.89,41.9,51.03,45.59,48.34,44.62,49.55,47.94,48.08,47.17,46.93,44.99,42.71,23.12,43.31,47.94,50.93,41.9,51.23,45.66,48.34,44.72,49.55,47.89,48.05,47.12,46.88,44.92,42.71,23.09,43.26,47.94,50.9,41.9,51.15,45.6,48.34,44.66,49.55,47.94,48.01,47.13,46.93,44.99,42.71,23.05,43.24,47.94,50.89,41.9,51.16,45.66,48.34,44.65,49.55,25.12,25.15,25.39,24.86,24.36,24.25,24.14,24.47,24.25,24.48,24.75,24.23,24.55,24.08,24.6,24.27,25.16,25.19,25.48,24.92,24.41,24.29,24.19,24.56,24.35,24.54,24.8,24.29,24.59,24.14,24.65,24.31,25.14,25.16,25.44,24.9,24.39,24.27,24.16,24.51,24.3,24.51,24.77,24.26,24.57,24.11,24.63,24.29,25.16,25.19,25.48,24.92,24.41,24.29,24.19,24.56,24.35,24.54,24.8,24.29,24.59,24.14,24.65,24.31,43.51,45.05,49.82,47.97,0.335,4.697,47.27,50.89,44.22,43.31,43.71,42.24,51.13,47.4,47.57,45.79,43.54,45.19,49.89,48.08,0.369,4.831,47.27,50.89,44.39,43.45,43.85,42.24,51.16,47.47,47.57,46.2,43.52,45.12,49.83,48.02,0.347,4.786,47.27,50.89,44.31,43.36,43.78,42.24,51.15,47.43,47.57,46.03,43.54,45.12,49.89,48.01,0.369,4.697,47.27,50.89,44.22,43.31,43.78,42.24,51.13,47.4,47.57,46.2,24.6,24.26,24.31,24.44,23.92,24.76,24.33,24.44,24.45,24.47,24.26,23.85,24.62,24.38,24.14,24.48,24.66,24.3,24.37,24.55,23.96,24.82,24.38,24.49,24.5,24.53,24.36,23.9,24.68,24.41,24.2,24.53,24.64,24.28,24.34,24.49,23.95,24.79,24.36,24.47,24.48,24.5,24.32,23.88,24.65,24.39,24.18,24.5,24.66,24.3,24.37,24.55,23.96,24.82,24.38,24.49,24.5,24.53,24.36,23.9,24.68,24.41,24.2,24.53,45.19,48.81,40.53,45.19,48.81,40.63,45.19,48.81,40.57,45.19,48.81,40.53,24.72,24.68,24.98,24.81,24.75,25.02,24.77,24.72,25,24.81,24.75,25.02
7/7/15 15:00,3,47.67,48.01,47.13,47.13,45.12,42.64,22.98,43.24,47.94,50.89,41.87,51.16,45.66,48.38,44.58,49.55,47.81,48.21,47.44,47.4,45.62,42.77,23.05,43.28,47.94,50.96,41.9,51.56,45.73,48.41,44.65,49.62,47.76,48.1,47.24,47.24,45.35,42.69,23.03,43.26,47.94,50.9,41.9,51.28,45.69,48.4,44.62,49.56,47.81,48.21,47.44,47.34,45.62,42.77,22.98,43.28,47.94,50.96,41.9,51.56,45.73,48.41,44.65,49.62,25.17,25.21,25.5,24.93,24.41,24.31,24.2,24.57,24.36,24.56,24.8,24.3,24.59,24.14,24.66,24.32,25.22,25.24,25.56,24.95,24.45,24.33,24.23,24.62,24.44,24.6,24.84,24.35,24.62,24.19,24.69,24.36,25.19,25.22,25.53,24.95,24.43,24.32,24.22,24.6,24.4,24.58,24.82,24.32,24.61,24.17,24.67,24.34,25.22,25.24,25.56,24.95,24.45,24.33,24.23,24.62,24.44,24.6,24.84,24.35,24.62,24.19,24.69,24.36,43.51,45.06,49.82,48.01,0.335,4.63,47.27,50.89,44.18,43.24,43.78,42.2,51.03,47.47,47.57,46.26,43.51,45.12,50.09,48.14,0.335,4.831,47.34,50.96,44.18,43.44,43.78,42.24,51.13,47.54,47.61,46.53,43.51,45.1,49.93,48.07,0.335,4.719,47.29,50.91,44.18,43.33,43.78,42.23,51.07,47.49,47.6,46.38,43.51,45.12,50.09,48.14,0.335,4.63,47.34,50.96,44.18,43.44,43.78,42.24,51.03,47.54,47.6,46.53,24.68,24.31,24.38,24.57,23.98,24.84,24.39,24.5,24.51,24.54,24.37,23.91,24.7,24.41,24.21,24.54,24.72,24.33,24.42,24.62,24.02,24.87,24.44,24.54,24.56,24.57,24.42,23.94,24.78,24.44,24.25,24.59,24.7,24.32,24.4,24.59,24,24.86,24.42,24.52,24.54,24.55,24.4,23.92,24.74,24.43,24.23,24.56,24.72,24.33,24.42,24.62,24.02,24.87,24.44,24.54,24.56,24.57,24.42,23.94,24.78,24.44,24.25,24.59,45.26,48.78,40.49,45.39,48.81,40.56,45.3,48.78,40.53,45.39,48.78,40.56,24.83,24.77,25.04,24.89,24.8,25.07,24.86,24.79,25.05,24.89,24.8,25.07
7/7/15 16:00,4,47.54,48.01,47.34,46.93,45.52,42.77,22.98,43.31,47.94,50.89,41.87,51.23,45.79,48.48,44.65,49.55,47.81,48.14,47.4,47.2,45.59,42.87,22.98,43.31,47.94,50.96,41.9,51.63,45.86,48.48,44.72,49.62,47.68,48.06,47.36,47.12,45.55,42.82,22.98,43.31,47.94,50.94,41.9,51.51,45.83,48.48,44.66,49.6,47.54,48.01,47.34,46.93,45.52,42.84,22.98,43.31,47.94,50.89,41.87,51.23,45.86,48.48,44.65,49.55,25.22,25.25,25.55,24.92,24.45,24.33,24.24,24.62,24.44,24.6,24.85,24.36,24.62,24.19,24.69,24.36,25.25,25.28,25.56,24.94,24.46,24.35,24.26,24.62,24.47,24.63,24.86,24.38,24.65,24.2,24.71,24.37,25.23,25.27,25.56,24.92,24.45,24.34,24.25,24.62,24.45,24.62,24.86,24.37,24.64,24.2,24.69,24.36,25.25,25.28,25.56,24.92,24.46,24.35,24.26,24.62,24.47,24.63,24.86,24.38,24.65,24.2,24.71,24.37,43.51,45.06,50.12,48.14,0.335,4.563,47.27,50.93,44.18,43.24,43.78,42.24,51.06,47.54,47.6,46.46,43.58,45.22,50.22,48.14,0.369,4.831,47.34,50.96,44.18,43.51,43.85,42.3,51.13,47.57,47.67,46.6,43.55,45.13,50.17,48.14,0.341,4.663,47.33,50.95,44.18,43.41,43.79,42.27,51.09,47.54,47.63,46.52,43.58,45.06,50.12,48.14,0.335,4.831,47.27,50.93,44.18,43.24,43.78,42.24,51.09,47.54,47.67,46.46,24.72,24.34,24.42,24.62,24.02,24.84,24.44,24.54,24.56,24.57,24.43,23.94,24.78,24.44,24.25,24.6,24.74,24.37,24.44,24.64,24.06,24.87,24.46,24.56,24.6,24.59,24.44,23.97,24.79,24.47,24.26,24.62,24.73,24.35,24.44,24.63,24.04,24.86,24.45,24.55,24.58,24.58,24.44,23.95,24.78,24.45,24.26,24.61,24.74,24.37,24.44,24.64,24.06,24.86,24.46,24.56,24.6,24.59,24.44,23.97,24.79,24.47,24.26,24.62,45.32,48.78,40.59,45.39,48.81,40.69,45.38,48.8,40.66,45.32,48.81,40.69,24.9,24.81,25.08,24.93,24.83,25.1,24.92,24.82,25.09,24.93,24.83,25.1
7/7/15 17:00,5,47.48,48.01,47.27,46.9,45.53,42.84,22.91,43.31,47.94,50.89,41.9,51.3,45.86,48.48,44.62,49.55,47.58,48.22,47.68,47.41,46.07,42.98,22.98,43.38,47.95,50.97,41.91,51.77,45.97,48.54,44.66,49.63,47.54,48.14,47.47,47.2,45.79,42.91,22.93,43.32,47.94,50.94,41.9,51.57,45.91,48.5,44.65,49.6,47.48,48.15,47.68,47.21,46.07,42.98,22.92,43.38,47.95,50.97,41.91,51.77,45.97,48.52,44.66,49.63,25.26,25.29,25.55,24.9,24.47,24.35,24.27,24.62,24.47,24.65,24.87,24.38,24.65,24.21,24.71,24.37,25.28,25.3,25.57,24.92,24.48,24.38,24.29,24.65,24.5,24.67,24.9,24.42,24.68,24.23,24.74,24.39,25.27,25.3,25.56,24.91,24.48,24.37,24.28,24.64,24.49,24.66,24.89,24.41,24.67,24.22,24.72,24.39,25.28,25.3,25.55,24.9,24.48,24.38,24.29,24.65,24.5,24.67,24.9,24.42,24.68,24.23,24.74,24.39,43.58,45.12,50.09,48.14,0.335,4.664,47.3,50.93,44.18,43.24,43.78,42.18,51.09,47.54,47.67,46.53,43.59,45.13,50.43,48.25,0.369,4.832,47.34,50.97,44.32,43.65,43.79,42.24,51.14,47.61,47.68,46.67,43.58,45.13,50.26,48.19,0.358,4.725,47.33,50.96,44.25,43.45,43.78,42.22,51.1,47.57,47.68,46.61,43.59,45.13,50.43,48.25,0.369,4.697,47.34,50.97,44.29,43.65,43.79,42.18,51.14,47.58,47.68,46.67,24.74,24.37,24.44,24.65,24.06,24.89,24.47,24.56,24.61,24.59,24.44,23.97,24.79,24.47,24.27,24.63,24.77,24.39,24.47,24.66,24.09,24.93,24.48,24.58,24.63,24.62,24.47,23.99,24.81,24.5,24.3,24.66,24.76,24.38,24.45,24.66,24.07,24.91,24.48,24.57,24.62,24.61,24.46,23.98,24.8,24.49,24.29,24.65,24.77,24.39,24.46,24.66,24.09,24.9,24.48,24.58,24.62,24.62,24.45,23.99,24.8,24.5,24.3,24.66,45.32,48.78,40.69,45.6,48.81,40.83,45.46,48.79,40.75,45.6,48.79,40.83,24.94,24.83,25.1,24.96,24.84,25.13,24.96,24.84,25.11,24.96,24.84,25.13
7/7/15 18:00,6,47.54,47.88,47.28,47.08,45.73,43.05,22.85,43.32,47.88,50.83,41.87,51.44,45.87,48.42,44.66,49.56,47.75,48.08,47.54,47.28,46,43.05,22.92,43.38,47.95,50.97,41.91,51.64,46,48.48,44.73,49.63,47.63,48.01,47.37,47.14,45.85,43.05,22.88,43.36,47.92,50.9,41.9,51.55,45.94,48.47,44.68,49.6,47.75,47.88,47.28,47.28,45.73,43.05,22.85,43.32,47.88,50.83,41.87,51.44,45.87,48.42,44.66,49.56,25.3,25.3,25.54,24.87,24.48,24.38,24.3,24.64,24.5,24.67,24.9,24.42,24.68,24.23,24.74,24.39,25.3,25.33,25.56,24.89,24.5,24.39,24.3,24.65,24.51,24.68,24.9,24.43,24.69,24.24,24.74,24.39,25.3,25.32,25.55,24.88,24.49,24.38,24.3,24.64,24.5,24.68,24.9,24.42,24.69,24.24,24.74,24.39,25.3,25.33,25.55,24.87,24.5,24.39,24.3,24.65,24.51,24.68,24.9,24.43,24.69,24.24,24.74,24.39,43.52,45.13,50.16,48.15,0.336,4.429,47.28,50.9,44.26,43.28,43.79,42.18,51.14,47.48,47.68,46.37,43.59,45.13,50.36,48.25,0.369,4.597,47.34,50.97,44.32,43.59,43.79,42.24,51.17,47.54,47.68,46.61,43.53,45.13,50.26,48.2,0.358,4.496,47.29,50.95,44.29,43.43,43.79,42.22,51.15,47.51,47.68,46.47,43.52,45.13,50.16,48.15,0.369,4.463,47.28,50.9,44.26,43.28,43.79,42.24,51.14,47.48,47.68,46.4,24.76,24.39,24.45,24.66,24.09,24.87,24.48,24.57,24.62,24.62,24.45,23.99,24.8,24.5,24.3,24.67,24.77,24.41,24.47,24.66,24.1,24.9,24.5,24.59,24.63,24.62,24.47,24.01,24.8,24.51,24.32,24.68,24.77,24.4,24.46,24.66,24.09,24.89,24.49,24.58,24.63,24.62,24.46,24,24.8,24.51,24.31,24.67,24.77,24.41,24.47,24.66,24.1,24.87,24.5,24.59,24.63,24.62,24.47,24.01,24.8,24.51,24.32,24.68,45.33,48.79,40.87,45.53,48.82,40.93,45.43,48.81,40.9,45.33,48.82,40.9,24.96,24.83,25.13,24.96,24.84,25.14,24.96,24.84,25.14,24.96,24.84,25.14
7/7/15 19:00,7,47.75,47.68,47.21,47.11,45.73,43.05,22.85,43.32,47.88,50.83,41.84,51.44,45.8,48.42,44.66,49.56,47.75,47.85,47.28,47.21,45.8,43.12,22.85,43.39,47.88,50.84,41.87,51.5,45.83,48.49,44.66,49.56,47.75,47.76,47.24,47.16,45.76,43.08,22.85,43.35,47.88,50.83,41.85,51.46,45.81,48.43,44.66,49.56,47.75,47.68,47.21,47.11,45.74,43.12,22.85,43.39,47.88,50.84,41.84,51.44,45.8,48.49,44.66,49.56,25.3,25.33,25.52,24.68,24.49,24.38,24.3,24.63,24.5,24.67,24.9,24.43,24.69,24.22,24.74,24.39,25.31,25.33,25.54,24.8,24.5,24.39,24.3,24.65,24.51,24.68,24.91,24.44,24.7,24.24,24.74,24.4,25.3,25.33,25.54,24.74,24.49,24.38,24.3,24.64,24.51,24.68,24.9,24.44,24.69,24.23,24.74,24.39,25.31,25.33,25.52,24.77,24.49,24.39,24.3,24.63,24.5,24.67,24.91,24.44,24.7,24.22,24.74,24.4,43.52,45.13,50.16,48.15,0.336,4.295,47.28,50.9,44.19,43.12,43.72,42.24,51.17,47.48,47.68,46.47,43.52,45.13,50.16,48.15,0.369,4.395,47.28,50.93,44.26,43.25,43.79,42.35,51.17,47.51,47.68,46.47,43.52,45.13,50.16,48.15,0.358,4.345,47.28,50.91,44.21,43.16,43.73,42.28,51.17,47.5,47.68,46.47,43.52,45.13,50.16,48.15,0.336,4.295,47.28,50.9,44.19,43.12,43.72,42.35,51.17,47.48,47.68,46.47,24.76,24.41,24.46,24.64,24.1,24.8,24.48,24.57,24.62,24.61,24.45,24.01,24.77,24.5,24.32,24.68,24.77,24.42,24.47,24.66,24.1,24.86,24.5,24.59,24.64,24.62,24.47,24.01,24.8,24.52,24.33,24.68,24.77,24.41,24.47,24.65,24.1,24.83,24.49,24.58,24.63,24.61,24.46,24.01,24.79,24.51,24.32,24.68,24.76,24.42,24.47,24.64,24.1,24.8,24.49,24.58,24.62,24.61,24.46,24.01,24.77,24.51,24.32,24.68,45.33,48.82,40.9,45.33,48.82,40.97,45.33,48.82,40.94,45.33,48.82,40.97,24.94,24.82,25.14,24.96,24.84,25.14,24.95,24.83,25.14,24.94,24.82,25.14
